ID,Idade,Sexo,InstEnsi,Jogou,Console,TDeUso,Prazer_1,Prazer_2,Prazer_3,Prazer_4,Prazer_5,Prazer_6,Prazer_7,Prazer_8,Facil_1,Facil_2,Facil_3,Facil_4,Facil_5,Facil_6,Utilid_1,Utilid_2,Utilid_3,Utilid_4,Desejo_1,Desejo_2,Desejo_3,Desejo_4,Intens_1,Intens_2,Intens_3,UsoAt_1,UsoAt_2,UsoLik_1,UsoLik_2
78,23,1,0,2,0,1,5,4,2,2,4,3,5,3,2,3,4,3,4,5,4,3,4,2,2,5,2,5,2,1,4,0,0,1,1
79,19,1,1,2,0,6,4,2,4,3,4,4,5,3,2,2,3,2,3,4,2,3,3,3,2,4,3,3,4,1,3,2,6,2,2
80,19,1,1,1,0,10,5,5,5,4,5,5,4,1,3,4,4,4,2,4,4,4,4,5,5,5,5,5,4,3,4,7,21,4,4
81,19,1,1,1,0,2,5,2,1,1,5,5,5,1,4,4,4,5,3,5,3,5,5,4,4,4,2,4,3,1,4,0,6,1,2
82,25,0,1,3,0,2,5,5,5,4,4,3,4,5,3,5,4,4,4,5,2,5,4,2,4,4,4,4,3,1,4,0,0,1,1
83,20,1,1,2,0,4,5,5,4,2,5,5,5,5,3,5,5,5,5,3,1,4,5,2,4,4,3,4,1,1,1,0,0,1,1
84,22,1,1,2,0,7,5,3,4,2,4,4,5,3,2,1,4,2,5,5,3,4,5,3,4,3,2,4,3,4,3,7,21,4,4
85,22,1,1,2,0,5,5,3,2,1,2,5,5,2,2,3,5,4,4,5,5,5,5,4,2,2,3,3,2,2,1,1,1,2,2
86,21,0,1,2,0,5,4,4,2,1,5,5,3,1,1,2,1,2,3,3,1,5,1,1,1,1,2,2,2,4,3,0,0,1,1
87,21,1,1,1,0,8,5,2,4,3,4,3,3,5,1,2,4,3,4,3,4,3,5,3,3,4,2,3,5,1,4,3,2,3,2
